time,open,high,low,close,volume
1575176400000,1.0028,1.0028,1.0028,1.0028,309.49065428
1575180000000,1.0028,1.0028,1.0028,1.0028,804.83875969
1575183600000,1.0028,1.0028,1.0028,1.0028,315.70341465
1575187200000,1.0028,1.0028,1.0028,1.0028,282.87680172
1575190800000,1.0028,1.003,1.003,1.0028,441.17044425
1575198000000,1.003,1.003,1.003,1.003,369.80706
1575201600000,1.003,1.003,1.003,1.003,530.6071616199999
1575205200000,1.003,1.003,1.003,1.003,3388.87938966
1575208800000,1.003,1.003,1.003,1.003,300.47907465
1575212400000,1.003,1.003,1.003,1.003,740.51335688
1575216000000,1.003,1.003,1.003,1.003,735.57733952
1575230400000,1.0038,1.0038,1.0038,1.0038,276.42351438000003
1575237600000,1.0038,1.0038,1.0038,1.0038,252.97900815
1575241200000,1.0038,1.0038,1.0038,1.0038,212.3514651
1575248400000,0.99794,1.0038,1.0038,0.99794,1212.94622215
1575252000000,1.0038,0.99822,1.0038,0.99822,3016.4399157
1575255600000,1.0038,1.0038,1.0038,1.0038,303.9966134
1575262800000,1.0038,1.0038,1.0038,1.0038,1005.27792715
1575277200000,1.0038,1.0038,1.0038,1.0038,378.26013858
1575280800000,1.0035,1.0035,1.0035,1.0035,48.0
1575284400000,1.0018,1.0008,1.0018,1.0008,511.0
1575288000000,0.99959,0.99959,0.99959,0.99959,339.65999999999997
1575291600000,0.99934,0.9996,0.9996,0.99934,134.865
1575295200000,0.99976,1.0018,1.0018,0.99976,283.51364865
1575306000000,0.99914,1.0018,1.0018,0.99914,116.61446141
1575313200000,1.0018,1.0018,1.0018,1.0018,17.09719635
1575316800000,1.0018,1.0018,1.0018,1.0018,9.906846
1575320400000,0.99816,0.99826,0.99826,0.99816,62.27166193
1575327600000,1.0018,1.0,1.0018,1.0,44.0
1575345600000,0.99922,0.99922,0.99922,0.99922,21.28032175
1575360000000,1.001,1.001,1.001,1.001,505.0
1575363600000,1.0009,1.0009,1.0009,1.0009,218.781
1575370800000,1.0009,1.001,1.001,0.99812,232.23120171000002
1575414000000,0.99999,0.99999,0.99999,0.99999,20000.0
1575421200000,1.0019,1.0019,1.0019,1.0019,25.0
1575428400000,0.99851,0.99851,0.99851,0.99851,47.952
1575432000000,1.0018,0.99988,1.0019,0.99988,194.5003125
1575464400000,1.0019,1.0007,1.0095,0.9988,24505.44853688
1575468000000,1.0068,1.0073,1.0073,1.0007,484.26701944
1575471600000,1.0073,1.0073,1.0073,1.0073,69.00808013
1575475200000,1.0008,1.0008,1.0008,1.0008,60.60671972
1575478800000,1.0007,1.0007,1.0007,1.0006,198.14426016000002
1575482400000,1.0063,1.0006,1.0063,1.0006,96.50874533
1575486000000,1.0007,1.0001,1.0007,1.0001,700.0336868
1575489600000,1.0002,1.0001,1.0002,1.0001,155.53121902
1575496800000,1.0037,1.004,1.004,1.0037,240.0
1575504000000,1.0002,1.0001,1.0002,1.0001,131.868
1575511200000,1.0002,1.0001,1.0002,1.0001,212.84286408
1575514800000,1.0002,1.0002,1.0002,1.0002,4.7177456
1575522000000,1.0019,1.0019,1.0019,1.0019,90.12753912000001
1575547200000,1.0014,1.0001,1.0015,1.0001,135.09158117
1575550800000,1.0002,0.99853,1.0003,0.99852,6970.89095249
1575554400000,0.99854,0.99854,0.99854,0.99854,90.909
1575558000000,0.99855,0.99854,0.99855,0.99854,207.4536955
1575561600000,0.99855,1.0,1.0,0.99855,99.98994504
1575565200000,0.99999,0.99867,1.0015,0.99867,755.6769702199999
1575568800000,0.99931,0.99933,0.99933,0.99931,473.526
1575572400000,1.0015,1.0015,1.0015,0.99911,114.36683028
1575576000000,0.99919,0.99919,0.99919,0.99919,46.953
1575590400000,0.99919,0.99913,1.0015,0.99913,59.605584
1575626400000,1.0015,0.99856,1.0015,0.99855,339.36405052000003
1575630000000,1.0014,1.0015,1.0015,1.0014,79.92909619
1575633600000,0.99909,0.99909,0.99909,0.99909,62.99120981
1575637200000,0.99903,0.99854,0.99903,0.99854,152.297
1575644400000,0.99906,0.99854,0.99906,0.99854,163.84519
1575648000000,1.0011,1.0014,1.0014,1.0011,120.75327042
1575651600000,0.99873,0.99854,0.99873,0.99854,287.10824
1575658800000,0.99855,0.99854,0.99855,0.99854,200.0
1575669600000,1.001,1.0015,1.0015,1.001,1590.52035866
1575676800000,1.0015,1.0015,1.0015,0.99863,115.6354065
1575684000000,0.99865,0.99854,0.99865,0.99854,320.928248
1575687600000,1.0014,0.99853,1.0015,0.99853,113.65287495000001
1575712800000,0.99901,0.99853,0.99901,0.99853,1747.68004
1575730800000,0.99854,0.99853,0.99854,0.99853,120.5673024
1575734400000,1.0011,1.0015,1.0015,1.0011,132.18199171999998
