time,open,high,low,close,volume
1575176400000,2.7169,2.7082,2.7237,2.70154133,28831.63828929
1575180000000,2.7138,2.7126,2.7149,2.7073,4448.65348184
1575183600000,2.7074,2.6948,2.7226,2.6884,54288.386614
1575187200000,2.7001,2.6973,2.7106,2.694,19980.58569203
1575190800000,2.6949,2.7077,2.714,2.6748,146095.55757174
1575194400000,2.7139,2.7229,2.7327,2.699,5716.51656932
1575198000000,2.723,2.7122,2.7274,2.7082,5456.346528
1575201600000,2.7122,2.7277,2.7301,2.7122,9834.452823309999
1575205200000,2.7293,2.84092314,2.8682,2.7293,187175.09043715
1575208800000,2.8423,2.82,2.8695,2.8155,73819.01588501
1575212400000,2.8231,2.772,2.8268569,2.743,153724.62696904
1575216000000,2.7704,2.7734,2.8037,2.7608,27010.93735454
1575219600000,2.7793,2.7814,2.7819,2.7663,31157.396790529998
1575223200000,2.7803,2.7775,2.7841,2.7707,11893.14979374
1575226800000,2.7754,2.7795,2.7814,2.7673,36156.99616644
1575230400000,2.778,2.7937,2.7981,2.778,3880.86951205
1575234000000,2.7852,2.7964,2.8,2.7821,14280.953556
1575237600000,2.7991,2.8188,2.819,2.7874,9040.36572067
1575241200000,2.8159,2.7977865,2.82011154,2.792,9072.91036932
1575244800000,2.79322256,2.7802,2.801,2.7705,16428.90072852
1575248400000,2.7839,2.8067,2.8099,2.78094276,2816.16993922
1575252000000,2.8033,2.8041,2.8101,2.7919,2039.54368999
1575255600000,2.8013,2.779,2.8013,2.7763,3414.32979316
1575259200000,2.7783,2.77378649,2.7783,2.7526,10168.30887318
1575262800000,2.7725,2.7137,2.7761,2.7097,47687.44690218
1575266400000,2.715,2.7181,2.7222,2.6866,64687.40479188
1575270000000,2.718,2.7192,2.7211,2.711,12045.91434941
1575273600000,2.7192,2.7109,2.72,2.69913743,149454.91285143
1575277200000,2.7159,2.7436,2.7621,2.71583457,27003.33332332
1575280800000,2.7392,2.7381,2.77136975,2.7205,43676.43071642
1575284400000,2.7306,2.7384,2.7389,2.7193427,10782.07726059
1575288000000,2.7379,2.7405,2.7434,2.7128,14732.06858673
1575291600000,2.7313,2.7243,2.7365,2.7185,5908.534242000001
1575295200000,2.7205,2.7006,2.7225726,2.6877,18281.35929564
1575298800000,2.6959,2.7136,2.7136,2.68875889,5322.0093205
1575302400000,2.7113,2.6949,2.7138,2.6839,15042.63824926
1575306000000,2.694,2.68959646,2.694,2.6494,175564.66288244
1575309600000,2.6869393,2.6772,2.6869393,2.6693,7575.73363185
1575313200000,2.67448997,2.68021485,2.6844,2.6728,5342.32354076
1575316800000,2.6792,2.6909,2.6989,2.6792,10107.55565386
1575320400000,2.6909,2.69836159,2.69836159,2.68563734,17987.36787412
1575324000000,2.6989,2.707,2.7175,2.6989,14933.00587245
1575327600000,2.71189294,2.6989,2.71422844,2.6989,14826.89555195
1575331200000,2.6958,2.7309,2.7393,2.6958,53935.33350783
1575334800000,2.7301,2.7294,2.73615204,2.72284875,69855.11296041
1575338400000,2.72805812,2.7214,2.7313,2.7104,95704.43040011
1575342000000,2.7178,2.7205,2.7215,2.7049,41373.75822235
1575345600000,2.7185,2.70092759,2.72930179,2.7003,8966.89024665
1575349200000,2.70004153,2.6981,2.7072,2.69265402,13556.1378726
1575352800000,2.7016,2.71289322,2.71344705,2.7016,1828.81617358
1575356400000,2.70945945,2.7041,2.70955827,2.7004,17291.636795360002
1575360000000,2.7039,2.7144,2.71811427,2.7039,14485.61865134
1575363600000,2.71976701,2.6931,2.7199,2.6931,11824.33360436
1575367200000,2.6946,2.6941,2.6989,2.66472375,28111.3530111
1575370800000,2.6868,2.68557468,2.69775372,2.6764,12212.14169938
1575374400000,2.6829,2.6892,2.6948,2.6829,8041.43292814
1575378000000,2.685,2.6939,2.6976,2.6829,6363.65784553
1575381600000,2.694,2.7456,2.7561,2.69140272,89669.67786805
1575385200000,2.744,2.7231,2.7472,2.71338187,39785.04378565
1575388800000,2.7234,2.72426142,2.7312,2.7163,33640.00015042
1575392400000,2.72389508,2.72605263,2.7357,2.72389508,5151.96360288
1575396000000,2.7301,2.7315,2.742,2.7301,7595.200823
1575399600000,2.7348798,2.72874342,2.7348798,2.7114,89483.4763586
1575403200000,2.72068713,2.71008045,2.72471528,2.7097,5130.26581742
1575406800000,2.7138492,2.72519777,2.72519777,2.7097,3192.27106398
1575410400000,2.7244,2.726,2.72934813,2.7106,6476.51518314
1575414000000,2.7233,2.7127,2.7274,2.70090263,28918.178756010002
1575417600000,2.7115,2.6377,2.7125,2.6036,198101.27877208
1575421200000,2.635,2.63,2.6476,2.615,22793.49809083
1575424800000,2.63010086,2.6216,2.645,2.61,18885.04582514
1575428400000,2.62340857,2.6131,2.6279,2.613,33722.25979144
1575432000000,2.6131,2.6272,2.6327,2.6044,33592.69447176
1575435600000,2.6261,2.615,2.6261,2.61277215,10134.23327842
1575439200000,2.615,2.626,2.6287,2.60594454,52471.70482854
1575442800000,2.6204,2.615,2.6291,2.615,14746.508475749999
1575446400000,2.615,2.6404,2.6446,2.5804,90017.31700719
1575450000000,2.6389,2.6429,2.64341059,2.6328,26293.95462417
1575453600000,2.6413,2.6612,2.6614,2.63,18577.63153917
1575457200000,2.6578,2.6431,2.6622,2.6431,40016.74731354
1575460800000,2.6458,2.649,2.65204922,2.6421,5238.28323104
1575464400000,2.6491,2.7517,2.8294,2.6489,407245.91638584
1575468000000,2.7522,2.7297,2.7651,2.7156,50975.62348347
1575471600000,2.7302,2.7219,2.7363057,2.7127,14650.30742692
1575475200000,2.7202,2.7118,2.7301,2.707,21515.65270982
1575478800000,2.7121,2.7126,2.7228,2.7121,57525.41511671
1575482400000,2.7146,2.70307313,2.7152,2.70298131,5347.73892035
1575486000000,2.7054,2.70934533,2.70934533,2.70297472,14352.56923808
1575489600000,2.70793038,2.65878117,2.72201271,2.6303,137031.65394889
1575493200000,2.6565,2.6455,2.6753,2.6342,30590.68236866
1575496800000,2.6466,2.65424737,2.6652,2.645,3023.58640241
1575500400000,2.65405153,2.64,2.65762334,2.64,14092.61594003
1575504000000,2.6402,2.6579,2.6579,2.6326,6666.54684412
