time,open,high,low,close,volume
1575176400000,3.8824,3.8674,3.8901,3.8618,927.8646948200001
1575180000000,3.8866,3.8879,3.8903,3.8864,1528.46664701
1575183600000,3.8864,3.8771,3.8903,3.8771,547.11429138
1575187200000,3.869,3.874,3.8874,3.869,991.09302845
1575190800000,3.8649,3.8879,3.8879,3.863,376.69794576
1575194400000,3.892,3.9186,3.92,3.888,491.202793
1575198000000,3.8993,3.8937,3.9041,3.8937,256.65812505
1575201600000,3.9088,3.9231,3.9291,3.9079,493.74472294000003
1575205200000,3.9196,4.0001,4.0352,3.9172,3812.34334961
1575208800000,4.0051,3.9756,4.0051,3.9756,228.94035892
1575212400000,3.9757,3.9286,3.9757,3.9286,202.71115953
1575216000000,3.9287,3.946,3.9603,3.9287,753.77115917
1575219600000,3.9475,3.9529,3.9529,3.9344,919.712
1575223200000,3.9345,3.9345,3.9345,3.9345,20.662
1575226800000,3.9233,3.9449,3.9539,3.915,445.06139609
1575230400000,3.9463,3.9598,3.9608,3.9463,42.212
1575234000000,3.9423,3.9546,3.9546,3.9423,41.13282545
1575237600000,3.9789,3.9789,3.9789,3.9789,50.31318574
1575241200000,3.9941,3.9701,3.9942,3.9701,1058.49961858
1575244800000,3.9693,3.94,3.9693,3.94,672.83855605
1575248400000,3.9415,3.9415,3.9415,3.9415,900.0
1575252000000,3.963,3.963,3.963,3.963,500.0
1575255600000,3.9558,3.9371,3.958,3.9371,383.75437033000003
1575259200000,3.9345,3.9329,3.9345,3.93,161.18251941
1575262800000,3.9337,3.8794,3.9337,3.8026,5952.6396263
1575266400000,3.8633,3.8561,3.8659,3.8309,648.08758023
1575270000000,3.8606,3.8709,3.8709,3.8587,283.81181329000003
1575273600000,3.8616,3.8555,3.8629,3.8453,408.85418427999997
1575277200000,3.8601,3.8911,3.9036,3.8601,2169.8292114299998
1575280800000,3.8839,3.8799,3.9061,3.863,3988.28695976
1575284400000,3.8681,3.874,3.8781,3.8678,248.70004345
1575288000000,3.8555,3.892,3.8966,3.8513,435.71888289
1575291600000,3.8837,3.9006,3.9006,3.8814,434.83626698
1575295200000,3.889,3.8641,3.8945,3.8641,562.90565282
1575298800000,3.8611,3.8798,3.8798,3.8581,316.79743817
