time,open,high,low,close,volume
1575176400000,149.0,148.67,149.44,147.9,895.69581567
1575180000000,148.77,148.2,148.98,148.03,605.42403798
1575183600000,148.2,147.82,148.80017787,147.43,779.63001479
1575187200000,147.82,147.66530795,148.37,147.25,428.66371654
1575190800000,147.61,148.43,148.45,146.74,735.93592722
1575194400000,148.40765523,148.74,149.18,147.80854396,1198.64029818
1575198000000,148.84,148.19,149.21,148.19,1308.04861374
1575201600000,148.197852,148.99,149.61,148.197852,1440.81382216
1575205200000,149.14,151.82,152.38,149.14,2438.33354578
1575208800000,151.97,151.63,153.55,151.56,1909.20127979
1575212400000,151.67591622,150.35,151.96238824,149.83,3194.3170055
1575216000000,150.34271952,150.78,151.42,149.79,2241.39004525
1575219600000,150.8923584,151.15806296,151.16,150.37,725.1823017
1575223200000,151.26,151.06,151.64,150.96,709.57937877
1575226800000,151.06,151.18,151.22,150.46,541.53020718
1575230400000,151.22,151.24,151.58,150.81,237.86139063000002
1575234000000,151.18442923,151.96,152.05885265,150.65,1215.20585396
1575237600000,151.93,152.41,152.84,151.8,586.67617756
1575241200000,152.33539821,151.84,153.03,151.77572995,502.03751994
1575244800000,152.04,151.03,152.3,150.65,1899.8510405299999
1575248400000,151.15,152.0838963,152.73,150.89563638,1365.36554417
1575252000000,152.09,151.77056417,152.23,151.57859933,406.49855128
1575255600000,151.77056417,151.02,151.92481375,150.81,421.07170448
1575259200000,151.02,151.22,151.45972183,150.48,508.01832426
1575262800000,151.21229883,148.67,151.21905154,148.55,1535.43016637
1575266400000,148.66033749,149.26,149.26,147.66,1044.09885938
1575270000000,149.26,149.42,149.44,148.75,1242.14870298
1575273600000,149.42,148.92,149.43,148.25,1914.36900305
1575277200000,148.82,150.21,150.81,148.82,966.00974267
1575280800000,150.2072235,149.89,151.43,149.45,2512.55531766
1575284400000,149.88,149.72,150.12,149.41,440.16410915
1575288000000,149.76165468,149.91435154,150.25,148.51,1194.61542208
1575291600000,149.99,150.1982564,150.53,149.67,1102.46797275
1575295200000,150.3,148.87451973,150.3,148.6,1059.26932035
1575298800000,148.88181195,149.33,149.68,148.48,649.59185208
1575302400000,149.43,148.45,149.75,148.16,1236.1185784
1575306000000,148.69,148.39,148.69,147.84,1011.31919375
1575309600000,148.49877504,148.25,148.49877504,147.91,259.98837364
1575313200000,148.16,148.61,148.61287942,148.11,780.44243953
1575316800000,148.62,148.93,149.35,148.51,543.62272013
