time,open,high,low,close,volume
1575176400000,46.769,46.682,46.79,46.37,1184.53076545
1575180000000,46.701,46.486,46.787,46.486,145.19167114
1575183600000,46.508,46.403,46.699,46.245,313.50105312
1575187200000,46.321,46.568,46.701,46.22,385.58245913
1575190800000,46.52,46.83,46.83,46.337,600.55024079
1575194400000,46.838,46.842,47.007,46.702,389.40609474
1575198000000,46.887,46.768,46.94,46.706,66.91882764
1575201600000,46.834,46.898,46.997,46.804,167.52654498
1575205200000,46.832,48.302,48.531,46.832,2571.55038832
1575208800000,48.371,48.04,48.691,48.002,1376.08168772
1575212400000,48.103,47.425,48.246,47.284,678.57129569
1575216000000,47.425,47.673,47.831,47.4,427.48943633
1575219600000,47.673,47.611,47.773,47.479,130.63111326
1575223200000,47.585,47.573,47.652,47.502,167.45071869
1575226800000,47.493,47.64,47.64,47.41,255.23098936
1575230400000,47.673,47.817,47.855,47.643,561.1667810600001
1575234000000,47.77,48.044,48.044,47.66,231.61598371
1575237600000,48.061,48.146,48.183,47.782,269.39075844
1575241200000,48.115,47.775,48.291,47.775,559.54001634
1575244800000,47.805,47.497,47.936,47.361,1395.64971031
1575248400000,47.578,47.683,47.77,47.365,206.066919
1575252000000,47.66,47.693,47.848,47.62,923.80766773
1575255600000,47.668,47.444,47.668,47.372,477.04499428
1575259200000,47.382,47.473,47.496,47.234,844.58903383
1575262800000,47.456,46.212,47.491,45.785,2895.31881736
1575266400000,46.109,46.074,46.189,45.444,975.45825157
1575270000000,46.131,46.248,46.248,45.718,681.8067393
1575273600000,46.238,46.028,46.238,45.752,3304.88583487
1575277200000,46.015,46.388,46.699,46.015,2007.87168351
1575280800000,46.365,46.19,46.756,46.009,2210.83153404
1575284400000,46.06,46.097,46.275,46.0,1409.51657987
1575288000000,46.233,46.355,46.457,45.856,1068.58617149
1575291600000,46.258,46.189,46.398,46.025,383.54083731000003
1575295200000,46.125,45.974,46.329,45.71,1582.4237924
1575298800000,45.97,46.064,46.119,45.811,1518.8768121800001
1575302400000,46.119,45.786,46.135,45.64,628.00986745
1575306000000,45.715,45.534,45.789,45.358,1968.5605261199998
1575309600000,45.533,45.338,45.533,45.015,2787.94086317
1575313200000,45.402,45.49,45.609,45.378,544.76702318
1575316800000,45.49,45.604,45.692,45.486,209.40573286
1575320400000,45.549,45.762,45.77,45.549,159.08350725
1575324000000,45.808,46.084,46.169,45.804,1767.3658753500001
1575327600000,46.085,45.815,46.11,45.758,1720.62950986
1575331200000,45.814,46.186,46.449,45.814,11695.51799292
1575334800000,46.187,46.111,46.256,46.02,496.41404265
1575338400000,46.125,46.058,46.219,45.983,320.81755947
1575342000000,46.118,46.066,46.245,45.956,654.01147242
1575345600000,46.172,45.878,46.172,45.777,320.53258557
1575349200000,45.769,45.6,45.91,45.491,590.93424499
1575352800000,45.584,45.949,45.985,45.584,447.21165639
1575356400000,45.809,45.657,45.992,45.657,650.16712916
1575360000000,45.713,45.915,45.915,45.713,141.35774725000002
