time,open,high,low,close,volume
1575176400000,0.22313,0.221,0.22313,0.22074,444357.36842643
1575180000000,0.221,0.22187,0.22223,0.2205,217731.8104789
1575183600000,0.22171,0.2209,0.2224,0.22081,119740.53977799
1575187200000,0.22091,0.22181,0.22211,0.22046,263093.31875843
1575190800000,0.2216,0.22208,0.22213,0.22039,146542.54909242
1575194400000,0.22191,0.22296,0.223,0.2214,367182.88618323
1575198000000,0.223,0.22211,0.223,0.22211,134695.91674545
1575201600000,0.22211,0.22257,0.22324,0.222,144958.88120126
1575205200000,0.22293,0.22551,0.22589,0.22276,379090.05286173
1575208800000,0.22545,0.22401,0.22641,0.2239,295224.42684014
1575212400000,0.2239,0.22236,0.2245,0.22165,282749.44632469
1575216000000,0.22248,0.223,0.22348,0.2217,431226.26041655
1575219600000,0.223,0.2235,0.2235,0.22242,113795.39504157
1575223200000,0.2235,0.22348,0.2242,0.22262,115022.81085622
1575226800000,0.22349,0.22267,0.22349,0.2218,152965.53571412
1575230400000,0.22269,0.2235,0.22457,0.22259,209565.45380515
1575234000000,0.22351,0.22488,0.22549,0.22291,210937.99148067
1575237600000,0.22549,0.22474,0.22636,0.22451,244705.78682013
1575241200000,0.22476,0.2263,0.22684,0.22476,85110.63374399
1575244800000,0.2266,0.22561,0.22767,0.2248,323736.81126423
1575248400000,0.22578,0.22698,0.2271,0.22501,276235.89626688
1575252000000,0.2269,0.22591,0.22741,0.22576,748920.91398613
1575255600000,0.22597,0.2243,0.22597,0.22378,179401.83866539
1575259200000,0.22426,0.22502,0.22538,0.2235,279962.6118889
1575262800000,0.2252,0.22248,0.2252,0.222,156189.59412664
1575266400000,0.22248,0.22182,0.22262,0.21995,872839.60349976
1575270000000,0.22169,0.22191,0.222,0.22073,186592.6450904
1575273600000,0.22194,0.2199,0.22194,0.21866,1242131.17095366
1575277200000,0.21996,0.22088,0.22183,0.21974,438116.76940829
1575280800000,0.22114,0.2205,0.2224,0.22032,394894.39977527
1575284400000,0.2206,0.22069,0.2213,0.2206,145551.42679237
1575288000000,0.22057,0.22216,0.2223,0.22043,314127.88362467
1575291600000,0.22216,0.22121,0.22216,0.22055,123855.38321585
1575295200000,0.22117,0.22023,0.2214,0.22017,1131069.68311162
1575298800000,0.22036,0.22094,0.22113,0.22017,395910.88953321
1575302400000,0.22108,0.22018,0.22108,0.21961,221260.82930344
1575306000000,0.21991,0.22055,0.22073,0.21878,353298.76778653
1575309600000,0.22055,0.21994,0.22055,0.219,133906.24107856
1575313200000,0.2199,0.22108,0.2212,0.21975,519897.93775888
1575316800000,0.221,0.22052,0.2212,0.22048,172563.87773871
1575320400000,0.22069,0.22112,0.2212,0.22067,107878.19677412
1575324000000,0.2212,0.22244,0.22266,0.22119,422226.87018968
1575327600000,0.2226,0.22074,0.2226,0.22011,460231.69171664
1575331200000,0.22084,0.22231,0.22383,0.21999,908767.49583641
1575334800000,0.22236,0.22253,0.223,0.22197,120743.03016991
1575338400000,0.22215,0.2222,0.22304,0.22211,44632.24952961
1575342000000,0.22216,0.22161,0.22284,0.22135,113282.49624328
1575345600000,0.22173,0.22124,0.22222,0.22073,329907.66686386
1575349200000,0.22104,0.2202,0.22163,0.21922,230296.23158625
1575352800000,0.22001,0.22198,0.22198,0.22,59064.88019065
1575356400000,0.22183,0.22061,0.22183,0.22049,127131.09472953
1575360000000,0.22049,0.22137,0.22146,0.22033,8649.44570528
1575363600000,0.22137,0.22,0.22137,0.21981,402598.57824588
1575367200000,0.22004,0.21991,0.22049,0.21939,347131.99613417
1575370800000,0.2199,0.21957,0.22073,0.21936,107301.41000447
1575374400000,0.21966,0.22,0.22,0.2196,395736.61308233
1575378000000,0.21989,0.22053,0.22067,0.21989,234161.87107588002
1575381600000,0.2207,0.2218,0.222,0.22051,712858.73898052
1575385200000,0.2218,0.22139,0.2218,0.22113,77858.72805664
1575388800000,0.22139,0.2217,0.22179,0.22116,201470.17823081
1575392400000,0.2218,0.22185,0.22256,0.22158,299305.75844155
1575396000000,0.22199,0.22291,0.22291,0.22198,332853.21069185
1575399600000,0.2225,0.22164,0.22278,0.22103,215763.96112290001
1575403200000,0.22132,0.22053,0.22145,0.21995,210958.9941582
1575406800000,0.22048,0.22069,0.221,0.22015,193738.03452686
1575410400000,0.22056,0.22165,0.22165,0.22042,99545.23762517
1575414000000,0.2216,0.22079,0.2216,0.22057,94511.91943584
1575417600000,0.22077,0.21709,0.22094,0.2158,1142792.06058636
1575421200000,0.21693,0.21663,0.21777,0.21575,904531.69665911
1575424800000,0.21666,0.21488,0.21666,0.21251,1357039.48209171
1575428400000,0.21489,0.2139,0.2153,0.21382,345992.66973524
1575432000000,0.214,0.21414,0.21482,0.2136,762410.31267267
1575435600000,0.21414,0.21308,0.21414,0.21251,1181118.51835898
1575439200000,0.21291,0.21261,0.21343,0.21261,201354.7104063
1575442800000,0.2128,0.21245,0.21308,0.21212,226267.03462007
1575446400000,0.21245,0.21473,0.21479,0.2112,626106.83058118
1575450000000,0.21474,0.21542,0.21566,0.21396,351832.48722685
1575453600000,0.21559,0.21555,0.2161,0.21429,1052513.29444979
1575457200000,0.21555,0.21499,0.21589,0.2144,534507.01922959
1575460800000,0.21499,0.2147,0.21537,0.21462,86217.58829384
1575464400000,0.2147,0.223,0.22751,0.21468,8351916.06047644
1575468000000,0.22346,0.22115,0.224,0.22,1747197.73480543
