time,open,high,low,close,volume
1575176400000,1.3053,1.2998,1.3058,1.2998,1859.6626402699999
1575180000000,1.296,1.2988,1.3041,1.2928,762.5818620499999
1575183600000,1.298,1.2928,1.2993,1.2928,24671.75230499
1575187200000,1.2937,1.2717,1.2937,1.2717,3210.34910624
1575190800000,1.27,1.2694,1.27,1.2579,5943.04495823
1575194400000,1.275,1.2906,1.2931,1.275,8836.45333345
1575201600000,1.3006,1.2944,1.3006,1.2944,589.0863997
1575205200000,1.2901,1.2851,1.2901,1.2851,607.10771795
1575208800000,1.2805,1.2866,1.2906,1.2797,1600.0
1575212400000,1.2747,1.2669,1.2747,1.2669,1325.36529748
1575216000000,1.2758,1.2938,1.2938,1.2758,4053.02374
1575219600000,1.2808,1.2808,1.2808,1.2808,1924.291487
1575223200000,1.2889,1.289,1.289,1.2889,445.79003458
1575226800000,1.2893,1.2895,1.2895,1.2893,2500.0
1575234000000,1.289,1.2881,1.289,1.2808,2924.9055749999998
1575237600000,1.2786,1.2786,1.2786,1.2786,19.15
1575241200000,1.2738,1.2615,1.2777,1.2615,15781.31966993
1575244800000,1.2592,1.251,1.2592,1.2443,5546.6682071000005
1575248400000,1.2544,1.2394,1.2548,1.2394,4970.44525266
1575252000000,1.2449,1.2449,1.2449,1.2449,4.22723815
1575255600000,1.2354,1.2565,1.2572,1.234,4054.18093284
1575259200000,1.2337,1.2356,1.2366,1.2337,984.15999344
1575262800000,1.23,1.2265,1.23,1.2265,2814.89993066
1575266400000,1.2271,1.22,1.2271,1.22,1527.27353601
1575270000000,1.24,1.2275,1.24,1.2275,538.89073874
1575273600000,1.2217,1.2166,1.2219,1.2116,1089.12158107
1575277200000,1.2186,1.2203,1.226,1.2186,1051.0
1575280800000,1.2239,1.2228,1.224,1.2228,400.51745431999996
1575284400000,1.227,1.227,1.227,1.227,4.0
1575288000000,1.214,1.214,1.214,1.214,27.0
1575295200000,1.2128,1.2219,1.2219,1.2069,4219.04548168
1575298800000,1.2218,1.2198,1.2218,1.2198,26.176728
