,yyyyMMdd,open price,high price,low price,close price,volume Pl
0,20190809 161200,1514.9,1515.1,1514.5,1514.7,401
1,20190809 161300,1514.7,1514.9,1513.8,1513.8,745
2,20190809 161400,1513.9,1514.2,1513.6,1513.8,326
3,20190809 161500,1513.8,1513.9,1513.6,1513.7,173
4,20190809 161600,1513.8,1514.5,1513.8,1514.4,259
5,20190809 161700,1514.4,1514.8,1514.1,1514.8,282
6,20190809 161800,1514.7,1514.8,1514.4,1514.4,140
7,20190809 161900,1514.5,1514.9,1514.3,1514.8,263
8,20190809 162000,1514.8,1515.1,1514.5,1515.1,176
9,20190809 162100,1515.1,1515.1,1514.5,1514.9,243
10,20190809 162200,1514.8,1514.8,1514.1,1514.1,165
11,20190809 162300,1514.1,1514.2,1513.8,1514.1,192
12,20190809 162400,1514.1,1514.6,1514.0,1514.6,139
13,20190809 162500,1514.5,1514.7,1514.3,1514.4,142
14,20190809 162600,1514.4,1514.6,1514.3,1514.6,94
15,20190809 162700,1514.7,1514.8,1514.4,1514.4,166
16,20190809 162800,1514.5,1514.5,1514.1,1514.4,99
17,20190809 162900,1514.4,1514.4,1514.0,1514.0,131
18,20190809 163000,1514.0,1514.3,1513.8,1514.2,118
19,20190809 163100,1514.1,1514.1,1513.8,1514.0,81
20,20190809 163200,1514.0,1514.2,1513.9,1514.0,128
21,20190809 163300,1514.1,1514.1,1513.7,1514.1,144
22,20190809 163400,1514.1,1514.1,1513.5,1513.6,272
23,20190809 163500,1513.6,1513.7,1513.2,1513.4,284
24,20190809 163600,1513.5,1513.6,1512.9,1513.1,450
25,20190809 163700,1513.1,1513.8,1513.1,1513.7,276
26,20190809 163800,1513.7,1514.1,1513.6,1514.0,172
27,20190809 163900,1514.0,1514.2,1513.9,1514.0,176
28,20190809 164000,1514.0,1514.1,1513.7,1513.7,111
29,20190809 164100,1513.7,1514.1,1513.7,1513.7,129
30,20190809 164200,1513.6,1513.6,1513.0,1513.2,178
31,20190809 164300,1513.1,1513.2,1512.7,1512.8,214
32,20190809 164400,1512.7,1513.0,1512.6,1512.9,131
33,20190809 164500,1512.9,1513.0,1512.3,1512.4,322
34,20190809 164600,1512.3,1513.4,1512.3,1513.0,390
35,20190809 164700,1512.9,1513.1,1512.7,1512.9,105
36,20190809 164800,1512.9,1513.0,1512.8,1512.8,93
37,20190809 164900,1512.8,1512.9,1512.5,1512.6,170
38,20190809 165000,1512.6,1513.0,1512.3,1512.8,145
39,20190809 165100,1512.8,1513.0,1512.6,1512.8,164
40,20190809 165200,1512.9,1513.2,1512.7,1512.7,226
41,20190809 165300,1512.7,1512.9,1512.6,1512.7,109
42,20190809 165400,1512.7,1512.7,1510.6,1510.8,1164
43,20190809 165500,1510.9,1511.0,1508.6,1509.3,2560
44,20190809 165600,1509.3,1510.3,1508.9,1510.1,1316
45,20190809 165700,1510.1,1510.7,1509.8,1510.3,1020
46,20190809 165800,1510.2,1511.7,1509.9,1511.5,1238
47,20190809 165900,1511.4,1512.2,1511.0,1511.9,602
48,20190809 170000,1511.8,1512.2,1511.3,1511.5,762
49,20190809 170100,1511.5,1511.5,1509.7,1509.8,1154
50,20190809 170200,1509.9,1510.6,1508.9,1509.2,1081
51,20190809 170300,1509.3,1509.9,1508.4,1508.7,1517
52,20190809 170400,1508.8,1508.9,1508.1,1508.5,1090
53,20190809 170500,1508.6,1509.4,1508.2,1508.3,989
54,20190809 170600,1508.4,1508.4,1506.7,1507.2,1983
55,20190809 170700,1507.2,1508.5,1507.1,1508.1,693
56,20190809 170800,1508.0,1508.1,1507.0,1507.5,592
57,20190809 170900,1507.5,1508.5,1507.4,1508.1,648
58,20190809 171000,1508.2,1508.4,1507.8,1508.2,398
59,20190809 171100,1508.2,1508.8,1508.2,1508.8,426
60,20190809 171200,1508.8,1508.8,1508.2,1508.3,389
61,20190809 171300,1508.4,1508.6,1507.8,1508.3,233
62,20190809 171400,1508.3,1508.3,1507.0,1507.3,583
63,20190809 171500,1507.3,1507.9,1507.2,1507.6,378
64,20190809 171600,1507.7,1508.0,1507.4,1507.4,258
65,20190809 171700,1507.4,1507.5,1506.9,1507.4,468
66,20190809 171800,1507.3,1507.5,1506.6,1507.3,434
67,20190809 171900,1507.2,1507.9,1507.1,1507.7,395
68,20190809 172000,1507.7,1508.3,1507.6,1507.8,486
69,20190809 172100,1507.8,1507.8,1506.4,1506.6,908
70,20190809 172200,1506.6,1507.8,1506.5,1507.7,553
71,20190809 172300,1507.7,1507.9,1507.6,1507.9,254
72,20190809 172400,1507.8,1508.2,1507.7,1507.8,301
73,20190809 172500,1507.8,1508.5,1507.6,1508.1,590
74,20190809 172600,1508.2,1508.7,1508.1,1508.1,374
75,20190809 172700,1508.1,1508.5,1508.0,1508.4,400
